i18n_key,en,zh,vi,id
dining.rule1,Dress appropriately for the restaurant.,穿着得体，符合餐厅要求。,Ăn mặc phù hợp với nhà hàng.,Berpakaian sesuai dengan restoran.
dining.rule2,"Arrive on time, especially with a booking.",准时到达，特别是有预订时。,"Đến đúng giờ, đặc biệt khi đã đặt bàn.","Datang tepat waktu, terutama jika sudah reservasi."
dining.rule3,Wait for all guests to arrive before being seated if required.,如有要求，等所有人到齐再入座。,Chờ đủ khách mới ngồi nếu được yêu cầu.,Tunggu semua tamu hadir sebelum duduk bila diminta.
dining.rule4,Make a reservation in advance for popular restaurants.,热门餐厅需提前订位。,Đặt bàn trước cho nhà hàng đông khách.,Reservasi lebih awal untuk restoran populer.
dining.rule5,Respect seat arrangements; host/important guests at head positions.,尊重座位安排；主人或重要客人坐在主位。,Tôn trọng chỗ ngồi; chủ/khách quan trọng ở vị trí đầu bàn.,Hormati pengaturan tempat duduk; tuan rumah/tamu penting di kepala meja.
dining.rule6,Do not place phones or keys on the table.,不要把手机或钥匙放在桌上。,Không đặt điện thoại hay chìa khóa trên bàn.,Jangan letakkan ponsel atau kunci di meja.
dining.rule7,Do not text at the table; excuse yourself if you must take a call.,不要在餐桌发短信，如需接电话请先告知并离席。,Không nhắn tin khi ăn; xin phép nếu cần nghe điện thoại.,Jangan kirim pesan saat makan; pamit jika harus menerima telepon.
dining.rule8,Inform the host/restaurant of dietary needs beforehand.,提前告知饮食需求（过敏、素食、清真等）。,"Thông báo nhu cầu ăn kiêng trước (chay, halal, không gluten...).","Beritahu kebutuhan diet sebelumnya (vegetarian, halal, bebas gluten)."
dining.rule9,Confirm how the bill will be split before dining.,提前确认如何分摊账单。,Xác nhận cách chia hóa đơn trước bữa ăn.,Konfirmasi cara membayar tagihan sebelum makan.
dining.rule10,Order the same number of courses as others.,与同桌人数一致地选择菜品数量。,Gọi cùng số món như những người khác.,Pesan jumlah hidangan yang sama dengan orang lain.
dining.rule11,Place your napkin on your lap; on the chair if leaving temporarily.,餐巾放在腿上，临时离席时放在椅子上。,Đặt khăn ăn lên đùi; để trên ghế nếu rời bàn tạm thời.,Letakkan serbet di pangkuan; di kursi jika meninggalkan sementara.
dining.rule12,Wait for everyone’s meal to arrive before eating.,等所有人上菜后再开始用餐。,Chờ tất cả món ăn được mang ra rồi mới ăn.,Tunggu semua makanan datang sebelum mulai makan.
dining.rule13,"Keep knife in right hand, fork in left; do not switch.",刀在右手，叉在左手，不要换手。,"Dao ở tay phải, nĩa ở tay trái; không đổi tay.","Pisau di tangan kanan, garpu di tangan kiri; jangan berpindah tangan."
dining.rule14,Place knife and fork parallel on right side of plate when finished.,吃完后将刀叉平行放在盘子右侧。,Khi ăn xong đặt dao nĩa song song bên phải đĩa.,Setelah selesai letakkan pisau garpu sejajar di sisi kanan piring.
dining.rule15,Keep voice at moderate volume; avoid loud talking.,保持适中音量，不要喧哗。,Giữ giọng vừa phải; tránh nói to.,Jaga suara sedang; hindari berbicara keras.
dining.rule16,Rest hands on lap when not holding utensils.,不用餐具时双手放在腿上。,"Khi không dùng dao nĩa, đặt tay lên đùi.","Saat tidak memegang alat makan, letakkan tangan di pangkuan."
dining.rule17,Pass dishes to the left (clockwise).,传菜方向为顺时针（向左）。,Chuyền món theo chiều kim đồng hồ (sang trái).,Teruskan hidangan searah jarum jam (ke kiri).
dining.rule18,Treat wait staff politely; say please and thank you.,礼貌对待服务员，说请和谢谢。,Đối xử lịch sự với nhân viên phục vụ; hãy nói cảm ơn.,Bersikap sopan kepada pelayan; ucapkan tolong dan terima kasih.
dining.rule19,Do not criticize food loudly; politely explain if returning a dish.,不要大声批评食物，退菜时礼貌说明原因。,Không chỉ trích đồ ăn lớn tiếng; giải thích lịch sự nếu trả lại món.,Jangan mengkritik makanan keras; jelaskan sopan jika mengembalikan hidangan.
dining.rule20,Be patient; do not rush the service.,耐心等待，不要催促上菜。,Kiên nhẫn chờ đợi; không thúc giục nhân viên.,Bersabar; jangan terburu-buru layanan.
